customer_id,first_name,last_name,dob,gender,sin,phone,email,occupation,income_bracket,customer_segment,acquisition_channel,location_id,created_at,is_active
36,Danielle,Nichols,2000-04-06,Female,***-***-8078,1-730-034-5682,theresarodriguez@example.net,Student,30K-60K,Mass Market,Branch,115,2016-11-21,True
37,Chris,Prince,1967-03-21,Male,***-***-5415,(252) 050-7460,jacksonfelicia@example.net,Lawyer,30K-60K,Mass Market,Branch,244,2020-09-27,True
38,Mary,Wilcox,1964-01-04,Male,***-***-9056,843-501-1405,olsonbrenda@example.net,Teacher,60K-100K,Mass Market,Online,155,2016-10-26,True
39,Anthony,Lopez,1957-04-06,Male,***-***-7561,(302) 101-3737 x138,amber98@example.org,Business Owner,60K-100K,Emerging Affluent,Referral,60,2019-08-23,True
40,Darryl,Ford,1946-07-23,Female,***-***-1018,1 (659) 343-3163,toddlaura@example.com,Retired,30K-60K,Mass Market,Mobile App,169,2017-07-18,True
41,Mike,Jensen,1976-03-04,Female,***-***-4335,962 934 8804,lauren94@example.org,Accountant,30K-60K,Mass Market,Online,124,2018-04-19,True
42,Colin,Matthews,1954-03-17,Male,***-***-3594,851.357.8156,emmadavidson@example.net,Accountant,60K-100K,Mass Market,Online,192,2021-12-06,True
43,Luis,Gentry,1965-09-04,Female,***-***-3522,122.206.3523,davidriggs@example.net,Software Developer,30K-60K,Mass Market,Mobile App,125,2018-04-14,True
44,Ronald,Palmer,1940-08-30,Female,***-***-7284,736-706-4115,whitneyblankenship@example.net,Manager,30K-60K,Mass Market,Mobile App,181,2015-05-30,True
45,Jacob,Morris,1948-01-06,Male,***-***-9318,624.219.8632,joshua17@example.net,Accountant,<30K,Mass Market,Mobile App,123,2017-05-08,True
46,Lauren,Burke,2001-12-03,Male,***-***-8935,973-764-6643,benderjustin@example.net,Retail Worker,100K-200K,High Net Worth,Branch,246,2018-06-15,True
47,Nicholas,Jones,1968-09-19,Female,***-***-4826,+1 (464) 067-6790,jennamendez@example.com,Business Owner,60K-100K,Mass Market,Referral,62,2015-07-10,True
48,Daniel,Hernandez,1941-05-26,Female,***-***-3492,248-485-7025 x959,alice18@example.com,Software Developer,60K-100K,Emerging Affluent,Mobile App,83,2021-03-14,True
49,Julie,Pittman,1958-08-25,Female,***-***-8486,(718) 416-6397 x145,james05@example.com,Engineer,60K-100K,Emerging Affluent,Referral,155,2017-07-18,True
50,Jennifer,Brewer,1944-04-23,Female,***-***-7512,(112) 189-4994 x288,wagnerjohn@example.net,Retired,200K+,High Net Worth,Branch,135,2017-12-13,True
51,Gary,Espinoza,1987-04-09,Female,***-***-9864,885-690-9647,michaelbrown@example.net,Engineer,100K-200K,Emerging Affluent,Online,111,2017-11-10,True
52,Tristan,Wells,1965-09-20,Male,***-***-2646,(124) 187-0282,ronald91@example.com,Software Developer,100K-200K,High Net Worth,Branch,127,2019-05-29,True
53,Richard,Lloyd,1997-04-16,Male,***-***-9702,+1 (887) 272-3060,xlynch@example.com,Truck Driver,<30K,Mass Market,Online,97,2020-09-19,True
54,Courtney,Davis,1969-01-25,Female,***-***-3344,608 343 7321,helliott@example.com,Manager,<30K,Mass Market,Online,116,2016-05-17,True
55,Andrew,Harvey,1986-08-20,Female,***-***-2210,(319) 595-8617 x572,susan78@example.org,Software Developer,60K-100K,Emerging Affluent,Mobile App,201,2016-05-12,True
56,Valerie,Martinez,1966-03-30,Non-binary,***-***-8916,+1 (909) 196-4110,terrijones@example.net,Teacher,200K+,High Net Worth,Branch,197,2017-04-14,True
57,James,Salas,1984-05-29,Male,***-***-1132,515-048-8112,jason34@example.com,Lawyer,30K-60K,Mass Market,Mobile App,250,2017-04-29,True
58,Anthony,Thornton,1960-03-24,Male,***-***-4770,1-731-649-5438,phillipmitchell@example.com,Lawyer,<30K,Mass Market,Mobile App,107,2019-01-14,True
59,Amanda,Jacobs,1965-04-30,Female,***-***-2591,806 019 4034,bwilliams@example.net,Government Employee,60K-100K,Emerging Affluent,Online,61,2017-12-02,True
60,Robin,Washington,1976-12-14,Male,***-***-7807,743-656-5106,jennifer00@example.net,Nurse,30K-60K,Mass Market,Branch,189,2015-10-17,True
61,Barbara,Smith,1973-01-31,Female,***-***-8894,+1 (859) 535-5230,rjackson@example.net,Construction Worker,30K-60K,Mass Market,Branch,137,2020-09-10,True
62,Joshua,King,1973-02-23,Female,***-***-7511,(744) 100-7336,kcox@example.com,Business Owner,60K-100K,Mass Market,Mobile App,144,2018-01-14,True
63,Stephen,Gamble,1952-03-06,Female,***-***-5295,704 333 1850,bperez@example.net,Lawyer,30K-60K,Mass Market,Online,214,2020-05-25,False
64,Jennifer,Carroll,1949-12-01,Female,***-***-4626,(545) 588-0813,raycheryl@example.com,Retired,<30K,Mass Market,Branch,169,2015-05-18,True
65,Melissa,Marks,2000-09-02,Male,***-***-9071,507.044.4016,wcastaneda@example.net,Teacher,30K-60K,Mass Market,Branch,188,2019-09-29,True
66,Katie,Fuentes,1955-02-28,Male,***-***-3531,+1 (914) 890-9032,james60@example.com,Government Employee,60K-100K,Emerging Affluent,Online,76,2018-10-24,True
67,Keith,Gray,1980-02-10,Male,***-***-8285,+1 (837) 863-2253,matthew80@example.org,Manager,60K-100K,Emerging Affluent,Mobile App,76,2017-05-02,False
68,Molly,Graham,2003-02-16,Male,***-***-3001,(893) 216-6796,hickstracy@example.com,Business Owner,30K-60K,Mass Market,Mobile App,74,2017-04-08,True
69,Tammy,Weaver,2000-07-29,Male,***-***-3063,(707) 677-6919,rlozano@example.com,Construction Worker,60K-100K,Emerging Affluent,Online,68,2019-02-10,True
70,Brandon,Carter,1996-06-27,Female,***-***-1046,1-643-502-5751,mauriceerickson@example.org,Accountant,60K-100K,Emerging Affluent,Mobile App,88,2021-04-03,False
71,Russell,Ramirez,2002-09-13,Male,***-***-6869,+1 (181) 410-4318,wsanchez@example.com,Construction Worker,60K-100K,Emerging Affluent,Referral,201,2021-10-01,True
72,Brianna,Nolan,1973-08-28,Female,***-***-8802,+1 (336) 562-9359,shannonjones@example.org,Software Developer,30K-60K,Mass Market,Referral,182,2016-03-02,True
73,Ernest,Gonzales,1964-08-03,Female,***-***-9543,1-825-045-1086,wrighttracy@example.org,Accountant,60K-100K,Mass Market,Online,58,2016-05-28,True
74,Amy,Bruce,1945-11-03,Female,***-***-2204,(619) 932-8964 x173,edwinstark@example.net,Government Employee,60K-100K,Mass Market,Branch,206,2016-06-25,True
75,Tony,Smith,1990-12-27,Male,***-***-9692,424 849 0340,sterrell@example.com,Accountant,<30K,Mass Market,Online,205,2021-05-27,True
76,Heather,Williams,1945-10-23,Female,***-***-4522,+1 (962) 206-1160,brookemurphy@example.net,Truck Driver,100K-200K,High Net Worth,Online,109,2019-05-26,True
77,Sarah,Bautista,1945-11-02,Male,***-***-5176,854.897.2372,carriehall@example.com,Retail Worker,100K-200K,High Net Worth,Mobile App,226,2015-10-26,False
78,Amanda,Sweeney,1958-09-27,Female,***-***-3131,(582) 833-6292,tstark@example.com,Doctor,<30K,Mass Market,Branch,194,2020-07-14,True
79,Charles,Lawson,1941-03-31,Male,***-***-1842,298 598 6169,robert46@example.net,Accountant,60K-100K,Mass Market,Online,141,2021-05-06,True
80,Robert,Norman,1960-02-10,Male,***-***-7022,112-614-1763,justin76@example.net,Teacher,60K-100K,Mass Market,Referral,197,2021-11-01,True
81,Heidi,Alvarez,1959-01-03,Female,***-***-1430,376-439-4902 x253,paul85@example.org,Lawyer,30K-60K,Mass Market,Mobile App,228,2017-09-27,True
82,Judy,Flynn,1963-03-15,Male,***-***-3347,126-729-2903 x163,wstokes@example.org,Lawyer,30K-60K,Mass Market,Referral,68,2019-10-14,True
83,Wesley,Black,1941-03-04,Male,***-***-6585,1 (580) 703-5490,parsonstimothy@example.org,Nurse,60K-100K,Mass Market,Online,235,2020-09-18,True
84,Brandi,Humphrey,1971-09-22,Female,***-***-1815,908 532 4483,gonzalesrobert@example.org,Retired,100K-200K,High Net Worth,Branch,164,2018-02-09,True
85,Francisco,Bauer,2008-02-11,Male,***-***-8043,1-705-891-1279,bjones@example.net,Teacher,60K-100K,Mass Market,Branch,224,2019-09-15,True
86,Andrew,Thornton,1964-08-08,Male,***-***-4349,217 234 2562,lbradford@example.com,Accountant,60K-100K,Mass Market,Mobile App,247,2020-02-29,True
87,Whitney,Garcia,1999-08-13,Male,***-***-7229,938-658-9625 x469,armstrongkim@example.net,Doctor,30K-60K,Mass Market,Referral,179,2020-08-15,True
88,Deborah,Howard,2008-06-19,Male,***-***-8532,239-537-7896 x462,thompsonbeth@example.net,Government Employee,60K-100K,Mass Market,Branch,131,2016-05-30,True
89,Daniel,West,1985-11-28,Male,***-***-6321,278.254.9711,donnawilliamson@example.net,Nurse,60K-100K,Emerging Affluent,Mobile App,209,2020-02-17,True
90,Lindsay,Shepard,1961-04-01,Male,***-***-7560,997 033 9368,smithjulian@example.com,Doctor,60K-100K,Mass Market,Branch,130,2015-01-14,True
91,Keith,Thomas,1957-03-09,Female,***-***-4176,(402) 395-9729,blackamanda@example.com,Government Employee,30K-60K,Mass Market,Referral,140,2020-12-12,True
92,Michael,Finley,1951-11-13,Male,***-***-3504,906-080-4784,john04@example.net,Construction Worker,100K-200K,Emerging Affluent,Referral,70,2020-06-07,True
93,Amanda,Price,1954-05-23,Male,***-***-6295,895-927-1870 x160,cordovajoseph@example.net,Business Owner,100K-200K,High Net Worth,Mobile App,131,2015-05-17,True
94,Thomas,Jacobs,1975-04-14,Male,***-***-9312,327-144-3580,cmurray@example.org,Teacher,<30K,Mass Market,Branch,166,2019-02-14,True
95,James,Gordon,1962-03-12,Male,***-***-9307,553.087.6771,natalie15@example.org,Truck Driver,30K-60K,Mass Market,Online,192,2021-09-26,False
96,Kimberly,Carlson,1947-09-23,Male,***-***-8792,818-048-2500,davidsaunders@example.com,Doctor,60K-100K,Mass Market,Branch,66,2017-02-24,True
97,Kristine,King,1991-07-08,Female,***-***-1641,380-511-7362 x645,mperry@example.com,Manager,100K-200K,High Net Worth,Referral,163,2020-12-01,True
98,Linda,Mcintosh,1988-10-18,Female,***-***-1857,715.781.9420,xfoster@example.com,Construction Worker,60K-100K,Mass Market,Online,136,2017-06-15,True
99,Albert,Mathis,1957-01-13,Female,***-***-3463,981.463.0598,anne72@example.com,Retail Worker,<30K,Mass Market,Branch,220,2016-05-01,True
100,Laura,Schwartz,1966-08-20,Female,***-***-2388,980.295.4858,zlopez@example.net,Accountant,30K-60K,Mass Market,Online,215,2018-12-11,True
101,Steven,Peters,1950-08-20,Female,***-***-9624,(290) 666-3156 x090,holly80@example.com,Teacher,100K-200K,High Net Worth,Online,159,2018-07-17,True
102,Jerry,Bush,1941-02-18,Female,***-***-4145,629-350-7627 x672,julie21@example.net,Manager,<30K,Mass Market,Mobile App,90,2017-11-24,True
103,Sharon,Conner,1946-02-25,Female,***-***-1618,1 (615) 021-2003,tracywilliams@example.net,Retired,100K-200K,High Net Worth,Branch,247,2015-09-03,True
104,Gloria,Garrett,1970-03-14,Female,***-***-3712,(587) 403-5411 x437,jessica63@example.com,Student,60K-100K,Mass Market,Online,156,2019-09-22,True
105,Erin,Baker,1966-11-02,Female,***-***-4833,651.863.4460,carrollcrystal@example.org,Doctor,60K-100K,Emerging Affluent,Branch,171,2019-10-17,True
106,Marissa,Green,1949-08-24,Female,***-***-7256,600 106 0329,brownkelly@example.com,Doctor,30K-60K,Mass Market,Online,92,2020-08-21,True
107,Zachary,White,1941-05-10,Female,***-***-2680,(762) 107-6061 x846,amyjohnson@example.org,Student,100K-200K,Emerging Affluent,Mobile App,82,2017-03-10,True
108,Heather,Smith,1957-05-25,Male,***-***-4637,(975) 034-1457 x754,anna85@example.com,Business Owner,100K-200K,High Net Worth,Online,140,2019-08-10,False
109,Michael,Ray,1972-03-01,Male,***-***-4678,+1 (626) 157-8395,johnsonruth@example.net,Engineer,30K-60K,Mass Market,Branch,76,2016-09-03,True
110,Carl,Good,1990-06-24,Female,***-***-3273,1 (653) 641-6678,wallerkatelyn@example.com,Construction Worker,60K-100K,Emerging Affluent,Referral,165,2020-01-07,True
111,Jennifer,Foster,1950-06-28,Female,***-***-9647,+1 (898) 155-2147,dbutler@example.com,Truck Driver,100K-200K,Emerging Affluent,Branch,124,2015-07-13,True
112,Jeffrey,Miller,1984-11-09,Male,***-***-9189,1 (329) 734-7410,andrea85@example.com,Lawyer,<30K,Mass Market,Online,212,2019-08-24,True
113,Sarah,Perez,1955-01-17,Male,***-***-7825,(607) 515-3833,boyerrobert@example.com,Nurse,30K-60K,Mass Market,Referral,72,2021-10-09,True
114,Lynn,King,2003-05-31,Female,***-***-1333,939 227 8019,oortiz@example.com,Truck Driver,30K-60K,Mass Market,Mobile App,62,2021-04-19,True
115,Regina,Ruiz,1993-09-03,Male,***-***-2698,+1 (904) 808-6937,morrispamela@example.net,Construction Worker,200K+,Private Banking,Online,244,2015-03-19,True
116,Michael,Osborne,1962-07-05,Female,***-***-8612,1-710-490-1602,claudia29@example.net,Student,<30K,Mass Market,Online,97,2016-09-08,True
117,Mary,Marquez,1992-07-15,Male,***-***-4268,(873) 691-5711,omar81@example.net,Government Employee,<30K,Mass Market,Branch,130,2019-03-11,True
118,Ryan,Schmidt,1949-09-07,Male,***-***-6848,610-658-4175 x566,twilliams@example.org,Business Owner,200K+,Private Banking,Referral,218,2020-06-25,True
119,Brian,Jones,1997-08-24,Female,***-***-7334,1-143-371-3666,floreslindsay@example.net,Retail Worker,<30K,Mass Market,Mobile App,178,2020-12-18,True
120,Paula,Jackson,1990-06-22,Male,***-***-8055,(121) 754-6768,brownjohn@example.com,Lawyer,30K-60K,Mass Market,Mobile App,97,2019-10-30,True
121,Jonathan,Adams,1946-01-27,Female,***-***-7981,416 060 4556,nicoleochoa@example.com,Nurse,30K-60K,Mass Market,Referral,140,2017-07-02,True
122,Jacqueline,Leonard,1981-03-13,Female,***-***-1939,1-316-577-0075,igreene@example.net,Teacher,60K-100K,Emerging Affluent,Referral,154,2018-11-04,True
123,William,Barnes,1954-08-15,Female,***-***-8179,+1 (803) 065-9007,katherine52@example.org,Engineer,100K-200K,High Net Worth,Branch,111,2020-01-31,True
124,Peter,Torres,1954-11-15,Female,***-***-7077,195.275.8549,jsmith@example.org,Retail Worker,30K-60K,Mass Market,Online,70,2016-10-31,True
125,Shirley,Hansen,1964-06-12,Male,***-***-4048,902-976-8154,thomas64@example.net,Software Developer,60K-100K,Mass Market,Online,194,2019-02-21,True
126,Tammy,Rodriguez,1972-06-27,Female,***-***-9047,322-286-5432 x878,allenwilliam@example.org,Manager,100K-200K,Emerging Affluent,Branch,69,2021-09-20,True
127,Robin,Moore,1944-09-11,Female,***-***-6236,222-691-0509,whitney22@example.org,Retired,100K-200K,Emerging Affluent,Branch,67,2016-10-22,True
128,Brett,Wilson,2000-03-25,Female,***-***-3852,1-384-564-3365,kgutierrez@example.net,Construction Worker,30K-60K,Mass Market,Online,108,2020-05-09,True
129,Steven,Anderson,1979-12-29,Female,***-***-7044,111 824 2133,sandra45@example.com,Software Developer,30K-60K,Mass Market,Mobile App,192,2019-08-01,True
130,Michelle,Rice,1952-12-22,Male,***-***-7730,(382) 439-6668 x580,vwilliams@example.net,Construction Worker,100K-200K,Emerging Affluent,Online,198,2020-08-30,True
131,Connie,Smith,1940-10-27,Male,***-***-3981,328.373.4331,rossrobert@example.org,Construction Worker,200K+,Private Banking,Mobile App,161,2017-06-14,True
132,Cody,Nixon,2001-09-10,Male,***-***-4694,1 (569) 925-8769,tammyfox@example.org,Retail Worker,100K-200K,Emerging Affluent,Mobile App,183,2015-08-08,True
133,Tracy,Wilson,1944-06-09,Male,***-***-5961,(980) 663-9215,perezmariah@example.com,Lawyer,100K-200K,High Net Worth,Online,179,2016-05-05,True
134,George,Henderson,1945-04-21,Female,***-***-6531,1 (765) 358-1981,jessicaanderson@example.com,Business Owner,60K-100K,Emerging Affluent,Mobile App,61,2017-02-26,True
135,Teresa,Wheeler,1947-09-17,Female,***-***-7825,453.048.1469,zthomas@example.org,Lawyer,<30K,Mass Market,Online,178,2019-09-29,True
136,John,Sandoval,2005-01-09,Female,***-***-7653,963-636-6507 x064,lsimmons@example.org,Accountant,60K-100K,Emerging Affluent,Online,227,2015-10-03,True
137,Alicia,Jordan,2005-01-07,Male,***-***-6231,1-329-813-9085,fgallegos@example.org,Student,30K-60K,Mass Market,Mobile App,139,2021-12-01,False
138,Wendy,Cooley,2005-07-18,Male,***-***-5382,678 719 4548,coopermichael@example.org,Software Developer,<30K,Mass Market,Branch,75,2020-02-23,True
139,Linda,Riddle,1966-10-07,Female,***-***-6364,178 149 8610,willie51@example.org,Government Employee,100K-200K,Emerging Affluent,Online,131,2017-10-09,True
140,Tiffany,Daniels,2003-03-11,Female,***-***-2475,542.832.7322,harrisnancy@example.com,Truck Driver,30K-60K,Mass Market,Online,112,2015-12-08,True
141,Michael,Molina,1943-08-16,Female,***-***-8710,400.968.5728,luis24@example.net,Accountant,30K-60K,Mass Market,Online,78,2016-06-21,True
142,Donna,Maxwell,1954-06-21,Male,***-***-4189,1-968-948-0781,christineramirez@example.com,Retail Worker,100K-200K,High Net Worth,Online,69,2021-04-25,True
143,Jonathan,Hall,1969-05-18,Female,***-***-3108,763-061-1425,davidsonjamie@example.com,Teacher,60K-100K,Emerging Affluent,Online,137,2021-02-12,True
144,Robert,Bruce,1969-08-17,Male,***-***-1637,124.063.3967,swagner@example.net,Nurse,30K-60K,Mass Market,Referral,172,2021-07-26,True
145,Mario,Patterson,2001-08-08,Male,***-***-7438,(139) 539-5083,andersonanthony@example.net,Lawyer,<30K,Mass Market,Referral,127,2020-09-28,True
146,Christian,Nash,1982-11-25,Male,***-***-1272,662-229-4152 x895,marcusalexander@example.com,Retail Worker,60K-100K,Emerging Affluent,Branch,79,2016-12-17,False
147,Margaret,Sullivan,1954-10-06,Male,***-***-8775,212.334.2051,jcordova@example.com,Accountant,60K-100K,Emerging Affluent,Mobile App,249,2017-05-22,True
148,Matthew,Chavez,1974-11-04,Female,***-***-7229,535 523 3770,davissara@example.org,Nurse,30K-60K,Mass Market,Mobile App,113,2021-06-21,True
149,Randy,Johnson,1962-08-10,Male,***-***-4340,813 744 8628,gcampbell@example.com,Truck Driver,100K-200K,Emerging Affluent,Online,207,2019-12-20,False
150,Jennifer,Castro,1989-12-24,Male,***-***-6325,261 807 5440,castanedatravis@example.com,Retired,100K-200K,Emerging Affluent,Online,147,2015-11-20,True
151,Christopher,Morales,1990-04-12,Female,***-***-5331,843-109-2949 x285,sandovalanthony@example.org,Lawyer,30K-60K,Mass Market,Online,114,2017-07-13,True
152,Thomas,Dalton,1948-11-09,Female,***-***-9011,523.546.5841,scott64@example.org,Retail Worker,30K-60K,Mass Market,Online,194,2017-03-22,False
153,Alexandra,Cole,1981-01-11,Male,***-***-7464,+1 (458) 852-6523,dbowen@example.com,Business Owner,100K-200K,Emerging Affluent,Branch,248,2021-01-22,True
154,Matthew,Sexton,1982-10-03,Male,***-***-5201,(448) 417-3465,tfloyd@example.com,Student,30K-60K,Mass Market,Online,102,2021-08-31,True
155,Lisa,Roach,1971-12-03,Female,***-***-4920,761-259-9663 x121,hilllaura@example.com,Manager,30K-60K,Mass Market,Branch,186,2015-07-01,True
156,Jennifer,Conley,1964-02-23,Female,***-***-3252,1-708-709-3847,jamescarol@example.net,Engineer,30K-60K,Mass Market,Mobile App,91,2019-11-06,True
157,Monica,Roach,1982-05-23,Non-binary,***-***-6262,+1 (835) 472-5699,brobinson@example.org,Accountant,100K-200K,Emerging Affluent,Online,247,2020-06-12,True
158,Sarah,Burton,1949-08-18,Female,***-***-3868,324-119-4863 x959,eric63@example.net,Truck Driver,60K-100K,Emerging Affluent,Mobile App,96,2016-04-24,False
159,Sandra,Rhodes,1968-07-23,Female,***-***-5742,432 655 7678,michelle42@example.net,Government Employee,<30K,Mass Market,Branch,127,2016-11-26,True
160,Marissa,Schultz,1960-07-16,Female,***-***-9092,446-453-9748 x133,whicks@example.org,Government Employee,<30K,Mass Market,Mobile App,180,2021-03-05,True
161,Michael,Nelson,1969-11-30,Male,***-***-4050,1-447-644-2231,jeffrey02@example.org,Engineer,30K-60K,Mass Market,Referral,126,2020-03-22,True
162,Melissa,Miller,1996-05-13,Female,***-***-9442,+1 (740) 125-8555,montoyagabriel@example.org,Retail Worker,100K-200K,High Net Worth,Branch,222,2018-11-11,True
163,Michael,Molina,1963-07-27,Male,***-***-8319,623-931-5782 x849,danielle36@example.org,Construction Worker,200K+,High Net Worth,Branch,135,2019-04-18,True
164,Patricia,Meyer,2000-10-15,Male,***-***-2936,1-774-161-8966,vanessa42@example.org,Software Developer,60K-100K,Mass Market,Branch,154,2018-01-12,True
165,Debra,Summers,1960-03-22,Female,***-***-5833,978.741.4538,beverlywashington@example.net,Retail Worker,100K-200K,High Net Worth,Online,107,2018-08-14,False
166,Tanya,Welch,1974-11-01,Female,***-***-8714,(960) 786-8860 x131,rodriguezchristopher@example.org,Construction Worker,60K-100K,Mass Market,Online,221,2021-07-07,True
167,Patricia,Ward,1968-05-18,Female,***-***-9653,1-432-402-6868,danielleguerrero@example.org,Student,100K-200K,Emerging Affluent,Online,195,2017-12-07,True
168,Stacy,Brown,1948-07-22,Male,***-***-9525,(684) 367-2890,duncanwendy@example.org,Software Developer,100K-200K,Emerging Affluent,Branch,103,2019-05-31,True
169,Jill,Smith,1997-08-30,Male,***-***-7806,389-942-3038 x371,hnelson@example.org,Software Developer,60K-100K,Emerging Affluent,Online,194,2018-12-13,True
170,Jennifer,Leon,1996-08-17,Female,***-***-2196,766-763-3027 x463,ryan93@example.net,Engineer,100K-200K,Emerging Affluent,Online,230,2016-10-17,True
171,Taylor,Brooks,1952-12-23,Male,***-***-7698,145.457.8716,amber33@example.com,Nurse,200K+,Private Banking,Referral,247,2018-11-18,True
172,Matthew,Massey,1941-04-03,Male,***-***-7184,+1 (115) 699-5993,susanarnold@example.com,Truck Driver,60K-100K,Emerging Affluent,Branch,220,2019-09-11,True
